Title,Authors,DOI,DOI link,Venue,Citation count,Year,Abstract summary
Counter-reporting sustainability from the bottom up: the case of the construction company WeBuild and dam-related conflicts,"A. Bontempi, Daniela Del Bene, L. D. Di Felice",10.1007/s10551-021-04946-6,https://doi.org/10.1007/s10551-021-04946-6,Journal of Business Ethics,13,2021,The paper examines the discrepancy between a construction company's CSR narratives and the socio-environmental impacts of its projects.
Reputation and corporate responsibility,Stewart Lewis,10.1108/13632540310807494,https://doi.org/10.1108/13632540310807494,-,307,2003,CSR is now a fundamental factor in stakeholders' criteria for judging companies and can impact their reputation and prosperity.
Determinants/Motivations of Corporate Social Responsibility Disclosure in Developing Economies: A Survey of the Extant Literature,"Waris Ali, Jeffrey Wilson, M. Husnain",10.3390/su14063474,https://doi.org/10.3390/su14063474,Sustainability,38,2022,"Internal and external factors, including company characteristics, corporate policies, regulations, and stakeholder pressures, influence CSR reporting in developing economies."
Financial and non-financial determinants of corporate social responsibility: empirical evidence from Pakistan,"Muhammad Ahsan Syed, S. A. Butt",10.1108/SRJ-08-2016-0146,https://doi.org/10.1108/SRJ-08-2016-0146,-,50,2017,The paper examines financial and non-financial determinants of corporate social responsibility (CSR) reporting by Pakistani companies.
Thematic Issue on Corporate Social Responsibility Corporate Social Responsibility: An Overview and New Research Directions,"Heli Wang, Li Tong, R. Takeuchi, G. George",-,-,-,16,2016,CSR reporting has become an increasingly prevalent and visible mechanism for corporations to manage societal perceptions and expectations.
The boundary of corporate social responsibility reporting: the case of the airline industry,"Kate Ringham, Samantha Miles",10.1080/09669582.2017.1423317,https://doi.org/10.1080/09669582.2017.1423317,Corporate Social Responsibility for Sustainable Tourism,27,2018,"The paper examines the boundary of corporate social responsibility (CSR) reporting, finding that companies often adopt narrow definitions that omit many impacts."
Corporate social responsibility and disclosure transparency,"J. Wild, Jon Wild",10.1108/jfra-08-2022-0309,https://doi.org/10.1108/jfra-08-2022-0309,Journal of Financial Reporting & Accounting,2,2023,Firms with higher CSR ratings tend to have more transparent financial statement disclosures.
Conformance and Deviance: Company Responses to Institutional Pressures for Corporate Social Responsibility Reporting,S. Wild,10.1080/0969160X.2014.938486,https://doi.org/10.1080/0969160X.2014.938486,-,4,2014,"Mandatory CSR reporting regulations in Denmark led to increased CSR reporting, with some mimetic isomorphism among companies."
The ‘legalisation’ of corporate social responsibility: Hong Kong experience on ESG reporting,Haitian Lu,10.1080/10192557.2016.1245385,https://doi.org/10.1080/10192557.2016.1245385,-,24,2016,"CSR reporting is becoming mandatory for companies, as seen in the Hong Kong Stock Exchange's 'comply or explain' ESG reporting requirement."
Contextualising and critically theorising corporate social responsibility reporting: Dynamics of the late Mubarak Era in Egypt,"Mohamed Osman, S. Gallhofer, J. Haslam",10.1016/j.cpa.2020.102166,https://doi.org/10.1016/j.cpa.2020.102166,-,21,2020,The paper provides a critical analysis of corporate social responsibility (CSR) reporting in the context of Egypt's late Mubarak era.
Corporate social responsibility: what motivates management to disclose?,"T. C. Ling, Nigar Sultana",10.1108/SRJ-09-2013-0107,https://doi.org/10.1108/SRJ-09-2013-0107,-,40,2015,"Firms with volatile stock prices provide greater CSR disclosures, possibly as a legitimacy strategy."
Enhancing performance by disclosing more: some evidence from Japanese companies,"Sriyalatha Kumarasinghe, Mick Will, Y. Hoshino",10.1108/PAR-01-2016-0001,https://doi.org/10.1108/PAR-01-2016-0001,-,9,2017,More extensive corporate social responsibility disclosures in annual reports are associated with higher financial and market performance for Japanese companies.
Social responsibility as the dominant driver of the evolution of reporting from financial to non-financial: theory and methodology,"S. Bychkova, S. Karelskaia, E. Abdalova, E. Zhidkova",10.21603/2308-4057-2021-1-135-145,https://doi.org/10.21603/2308-4057-2021-1-135-145,-,8,2021,Corporate social responsibility has driven the evolution of corporate reporting from financial to non-financial.
Multiple global CSR pronouncements and CSR harmonisation in Europe,"Takumi Nomura, Muhammad Houqe, Warwick J. Stent",10.1108/medar-12-2024-2752,https://doi.org/10.1108/medar-12-2024-2752,Meditari Accountancy Research,0,2025,Use of multiple global CSR reporting frameworks promotes harmonization of CSR reporting across firms.
"CSR expenditure, mandatory CSR reporting and financial performance of listed firms in India: an institutional theory perspective","K. Oware, T. Mallikarjunappa",10.1108/medar-05-2020-0896,https://doi.org/10.1108/medar-05-2020-0896,Meditari Accountancy Research,57,2020,Mandatory CSR reporting increases CSR expenditure and moderates the positive relationship between CSR expenditure and financial performance.
Board independence and corporate social responsibility reporting: mediating role of stakeholder power,Afzalur Rashid,10.1108/MRR-09-2020-0590,https://doi.org/10.1108/MRR-09-2020-0590,Management Research Review,20,2021,"Board independence does not directly influence CSR reporting, but stakeholder power moderates this relationship."
Corporate Social Responsibility as a Signalling Device for Foreign Direct Investment,A. Goyal,10.1080/13571510500520077,https://doi.org/10.1080/13571510500520077,-,67,2006,CSR reporting can serve as a signaling device for foreign direct investment by revealing the firm's type and facilitating cooperation.
Corporate Social Responsibility and Financial Reporting Quality: Evidence from Restatements,"Yi‐Hung Lin, H. Huang, Mark Riley, Chih-Chen Lee",10.2308/api-19-010,https://doi.org/10.2308/api-19-010,Accounting and the Public Interest,2,2020,"Higher corporate social responsibility (CSR) scores are associated with lower probability of financial statement restatements, but this relationship disappeared in the 2006-2012 period."
"Foreign ownership, passive‐learning knowledge spillovers, and corporate social responsibility reporting in China","Xuan Li, Chi Zhang, Wenliang Gao, Yanli Geng, Weizhang Sun",10.1002/csr.2557,https://doi.org/10.1002/csr.2557,Corporate Social Responsibility and Environmental Management,4,2023,Foreign ownership and institutional pressures influence the quality of corporate social responsibility reporting in China through passive-learning knowledge spillovers.
Examining CSR Reporting and Economic Crisis a Study of GRI Reporting Companies,-,-,-,-,17,2012,"CSR reporting quality decreased during economic crises, but corporations should view this as an opportunity to improve CSR reporting."
Formal corporate social responsibility reporting in Finnish listed companies,U. Kotonen,10.1108/09675420911006406,https://doi.org/10.1108/09675420911006406,-,70,2009,"The paper analyzes CSR reporting practices in large Finnish listed companies, including their motives, objectives, and the types of information disclosed."
Computer Science – Theory and Applications,"Sebastian S. Bauer, U. Fahrenberg, Axel Legay, Claus Thrane",10.1007/978-3-642-30642-6,https://doi.org/10.1007/978-3-642-30642-6,Lecture Notes in Computer Science,0,2012,The paper is not relevant to the query about CSR reporting.
CSR Reporting Practices of Polish Energy and Mining Companies,"Elżbieta-Izabela Szczepankiewicz, P. Mućko",10.3390/SU8020126,https://doi.org/10.3390/SU8020126,-,67,2016,CSR reporting by Polish energy and mining companies shows diversity in approaches despite similar high-level structures.
Is Corporate Reputation Associated with Quality of CSR Reporting? Evidence from Spain,"María D. Odriozola, Elisa Baraibar‐Diez",10.1002/CSR.1399,https://doi.org/10.1002/CSR.1399,-,234,2017,Higher quality CSR reporting is associated with higher corporate reputation.
Evolution of Reporting on Corporate Social Responsibility by the Companies in ISE National‐30 Index in Turkey,"N. Altintas, Burcu Adiloğlu, A. Altintas",10.1108/17471110710835545,https://doi.org/10.1108/17471110710835545,-,17,2007,The study examines the evolution of corporate social responsibility (CSR) reporting by companies in the Istanbul Stock Exchange National-30 Index in Turkey.
Antecedents of CSR disclosure in an emerging economy: evidence from the banking industry,"Kleber Vasconcellos de Oliveira, P. Lustosa, Fátima de Souza Freire, Frederico A. de Carvalho",10.1108/jaee-10-2020-0257,https://doi.org/10.1108/jaee-10-2020-0257,Journal of Accounting in Emerging Economies,8,2021,"Factors affecting CSR disclosure in the Brazilian banking industry include savings deposits, fee income, ownership structure, and regulatory capital."
The impact of the integrated reporting framework on corporate social responsibility (CSR) disclosures – the case of South African mining companies,"B. Ackers, Susanna Elizabeth Grobbelaar",10.1108/SRJ-12-2020-0508,https://doi.org/10.1108/SRJ-12-2020-0508,Social Responsibility Journal,14,2021,The integrated reporting framework has had a limited impact on the CSR disclosures of South African mining companies.
Corporate social responsibility and earnings management in the EU: a panel data analysis approach,Panagiotis E. Dimitropoulos,10.1108/srj-04-2020-0156,https://doi.org/10.1108/srj-04-2020-0156,Social Responsibility Journal,31,2020,High CSR performance is associated with less earnings management and higher financial reporting quality in EU firms.
Corporate social responsibility and earnings quality: do institutional features matter?,Habib Jouber,10.1108/jgr-04-2019-0041,https://doi.org/10.1108/jgr-04-2019-0041,Journal of Global Responsibility,15,2019,"CSR is positively associated with earnings quality, and this association is more pronounced in countries with stronger corporate governance and investor protection."
Do CSR performance and reporting facilitate access to debt financing in emerging markets? The role of asset structure and firm performance,"Ali Uyar, A. Gerged, C. Kuzey, Abdullah S. Karaman",10.1108/raf-01-2023-0020,https://doi.org/10.1108/raf-01-2023-0020,Review of Accounting and Finance,16,2023,"CSR performance and reporting facilitate access to debt financing in emerging markets, with asset structure and firm performance as moderating factors."
"CSR, human rights abuse and sustainability report accountability","Engobo Emeseh, Ondotimi Songi",10.1108/IJLMA-01-2013-0001,https://doi.org/10.1108/IJLMA-01-2013-0001,-,26,2014,CSR reporting can be made more effective by holding companies accountable for false or misleading statements in their sustainability reports.
Determinants of CSR Reporting and Assurance: An Analysis of Top Cooperative and Mutual Organisations,"H. Bollas-Araya, Fernando Polo-Garrido, Elies Seguí‐Mas",10.1111/AUAR.12244,https://doi.org/10.1111/AUAR.12244,-,29,2018,The paper examines the determinants of CSR reporting and assurance in cooperative and mutual organizations.
Corporate social and environmental reporting practices: A case of listed companies in Bangladesh,"Moazzem Hossain, M. Momin, A. Rowe, M. Quaddus",10.1108/SAMPJ-04-2015-0027,https://doi.org/10.1108/SAMPJ-04-2015-0027,-,40,2017,The paper explores corporate social and environmental reporting practices and motivations of listed companies in Bangladesh.
"The relationship between poor CSR performance and hard, negative CSR information disclosures","Maher Jeriji, W. Louhichi",10.1108/sampj-04-2020-0094,https://doi.org/10.1108/sampj-04-2020-0094,"Sustainability Accounting, Management and Policy Journal",26,2020,"Poor CSR performers disclose less hard, negative CSR information in their reports, using CSR reporting more as a legitimation device than an accountability mechanism."
Relationship between corporate social responsibility and tax avoidance: international evidence,T. Zeng,10.1108/SRJ-03-2018-0056,https://doi.org/10.1108/SRJ-03-2018-0056,Social Responsibility Journal,121,2019,"CSR is positively related to tax avoidance, but this relationship is moderated by country-level governance."
Impact of Women and Independent Directors on Corporate Social Responsibility and Financial Performance: Empirical Evidence from an Emerging Economy,"Chenxi Wang, Xincai Deng, Susana Álvarez-Otero, Muhammad Safdar Sial, U. Comite, Jacob Cherian, J. Oláh",10.3390/SU13116053,https://doi.org/10.3390/SU13116053,Sustainability,32,2021,"Gender diversity on boards positively affects CSR reporting, while independent directors do not have a significant effect."
Corporate social responsibility: a case study of the UK's leading food retailers,"P. Jones, D. Comfort, D. Hillier, I. Eastwood",10.1108/00070700510602192,https://doi.org/10.1108/00070700510602192,-,112,2005,The paper examines how the UK's leading food retailers report on their corporate social responsibility (CSR) activities.
Is Earnings Quality Associated with Corporate Social Responsibility?,B. Jacobsen,10.1080/0969160X.2013.845031,https://doi.org/10.1080/0969160X.2013.845031,-,87,2013,The paper examines the association between corporate social responsibility (CSR) performance and earnings quality.
CSR narrative under Islamic banking paradigm,"M. B. Zafar, A. A. Sulaiman",10.1108/srj-09-2018-0230,https://doi.org/10.1108/srj-09-2018-0230,-,15,2019,"The paper examines the CSR narrative under the Islamic banking paradigm, which has a broader scope than conventional CSR."
"Preventive and Remedial Actions in Corporate Reporting Among “Addiction Industries”: Legitimacy, Effectiveness and Hypocrisy Perception","Diletta Acuti, M. Bellucci, Giacomo Manetti",10.1007/s10551-023-05375-3,https://doi.org/10.1007/s10551-023-05375-3,Journal of Business Ethics,15,2023,"This paper examines how companies in ""addiction industries"" like tobacco, alcohol, and gambling use CSR reporting to manage organizational legitimacy and stakeholder perceptions."
Interaction of Corporate Social Responsibility Reporting at the Crossroads of Green Innovation Performance and Firm Performance: The Moderating Role of the Enterprise Life Stage,"Fawad Rauf, Wanqiu Wang, C. L. Voinea",10.3390/su16051821,https://doi.org/10.3390/su16051821,Sustainability,5,2024,"CSR reporting interacts with green innovation performance and firm performance, with the enterprise life stage moderating this relationship."
Ethical considerations of corporate social responsibility - A South African perspective,B. Ackers,10.4102/SAJBM.V46I1.79,https://doi.org/10.4102/SAJBM.V46I1.79,-,18,2015,"CSR reporting is becoming institutionalized and requires companies to disclose their social and environmental performance, not just financial."
"CSR achievement, reporting, and assurance in the energy sector: Does economic development matter?","Abdullah S. Karaman, N. Orazalin, Ali Uyar, M. Shahbaz",10.1016/j.enpol.2020.112007,https://doi.org/10.1016/j.enpol.2020.112007,-,76,2020,"CSR reporting, following GRI guidelines, and obtaining external assurance are more common for high CSR performers, especially in middle-income countries."
Erratum to: Enhancing the Role and Effectiveness of Corporate Social Responsibility (CSR) Reports: The Missing Element of Content Verification and Integrity Assurance,"S. Sethi, Terrence F. Martell, Mert C. Demir",10.1007/s10551-016-3359-4,https://doi.org/10.1007/s10551-016-3359-4,Journal of Business Ethics,0,2016,"CSR reporting lacks robust measures to ensure quality and accuracy of content, which this paper attempts to address."
Corporate social responsibility: is it an alternative to government?,"F. Tuokuu, Kwesi Amponsah-Tawiah",10.1108/JGR-05-2015-0007,https://doi.org/10.1108/JGR-05-2015-0007,-,17,2016,"CSR is not an alternative to government, but businesses and government should collaborate with stakeholders for sustainable development."
Corporate Social Responsibility Disclosure and the Value of Cash Holdings,"L. Lu, Gregory Shailer, Yangxin Yu",10.1080/09638180.2016.1187074,https://doi.org/10.1080/09638180.2016.1187074,-,78,2014,"CSR reporting increases the value of cash holdings, especially for firms with less transparency and weaker external monitoring."
Effects of corporate governance on the decision to voluntarily disclose corporate social responsibility reports: evidence from China,Chaoyang Zhou,10.1080/00036846.2019.1631440,https://doi.org/10.1080/00036846.2019.1631440,Applied Economics,59,2019,Corporate governance factors like ownership structure and board characteristics influence firms' decisions to voluntarily disclose CSR reports.
A Textual Analysis of US Corporate Social Responsibility Reports,"Peter M. Clarkson, Jordan Ponn, G. Richardson, Frank Rudzicz, Albert H. C. Tsang, Jingjing Wang",10.1111/abac.12182,https://doi.org/10.1111/abac.12182,-,74,2017,Textual analysis of corporate social responsibility (CSR) reports can accurately predict firms' actual CSR performance.
Corporate social responsibility in marketing: a review of the state-of-the-art literature,"A. Chakraborty, Ankur Jha",10.1108/jsocm-01-2019-0005,https://doi.org/10.1108/jsocm-01-2019-0005,Journal of Social Marketing,20,2019,This paper reviews the evolution of corporate social responsibility (CSR) research in the marketing domain over nearly a century.
Corporate irresponsibility and corporate social responsibility: competing realities,"Brian Jones, Ryan Bowd, Ralph Tench",10.1108/17471110910977249,https://doi.org/10.1108/17471110910977249,-,169,2009,The paper explores corporate social responsibility (CSR) and corporate social irresponsibility (CSI) as competing realities in corporate governance and business-society relations.
The impact of sustainability governance attributes on comprehensive CSR reporting: A developing country setting,"Waris Ali, Zeeshan Mahmood, Jeffrey Wilson, Hina Ismail",10.1002/csr.2677,https://doi.org/10.1002/csr.2677,Corporate Social Responsibility and Environmental Management,11,2023,"Sustainability governance attributes like committees, policies, and assurance positively impact comprehensive CSR reporting in a developing country."
How Institutional Investors on Boards Impact on Stakeholder Engagement and Corporate Social Responsibility Reporting,"Emma García‐Meca, M. Pucheta‐Martínez",10.1002/CSR.1451,https://doi.org/10.1002/CSR.1451,-,64,2018,"Institutional investors on boards have differing impacts on corporate social responsibility (CSR) reporting, with bank representatives promoting more CSR reporting but fund representatives prioritizing short-term earnings."
Measuring corporate social performance,"Le Ha Nhu Thao, Doan Ngoc Phi Anh, Jolan Velencei",10.5937/SJM14-18009,https://doi.org/10.5937/SJM14-18009,Serbian Journal of Management,17,2019,The paper proposes a method to measure corporate social performance through analyzing corporate social responsibility (CSR) disclosure.
Corporate social responsibility and green innovation: Evidence from mandatory CSR disclosure laws,"William Mbanyele, Hongyuan. Huang, Yafei Li, Linda T. Muchenje, Fengronng Wang",10.1016/j.econlet.2022.110322,https://doi.org/10.1016/j.econlet.2022.110322,Economics Letters,84,2022,Mandatory CSR disclosure laws lead to increased green innovation by firms.
CSR as corporate self-reporting in India's tourism industry,Anibel Ferus-Comelo,10.1108/SRJ-11-2012-0144,https://doi.org/10.1108/SRJ-11-2012-0144,-,20,2014,"CSR reporting in India's tourism industry is limited to corporate self-reporting, lacking transparency and community engagement."
CSR in an emerging country: a content analysis of CSR reports of listed companies,Yongqiang Gao,10.1108/17465261111131848,https://doi.org/10.1108/17465261111131848,-,153,2011,"The paper examines the features of CSR reporting by listed companies in China, the largest emerging market."
IV Governmental and Administrative Institutions / Institutions politiques et administratives,Lex Localis,10.1177/00208345231209560,https://doi.org/10.1177/00208345231209560,International Political Science Abstracts,0,2023,The abstract does not provide enough information to summarize what CSR reporting is. The paper appears to be about the concept of corporate social responsibility in general.
Corporate Social Responsibility Disclosure Quality and Firm Financial Performance: Evidence from an Emerging Economy,"Zaheer Alam, Y. Tariq",10.1177/09721509221131729,https://doi.org/10.1177/09721509221131729,Global Business Review,3,2022,Higher quality CSR reporting is positively associated with better financial performance in an emerging economy.
Stakeholder Engagement and Corporate Social Responsibility (CSR) Performance: International Evidence,"K. Lopatta, Reemda Jaeschke, Chen Chen",10.1002/CSR.1398,https://doi.org/10.1002/CSR.1398,-,97,2017,State-controlled ownership positively impacts corporate social responsibility (CSR) performance of firms across countries.
Corporate social reporting in Malaysia: a case of mimicking the West or succumbing to local pressure,"A. Amran, A. Siti-Nabiha",10.1108/17471110910977285,https://doi.org/10.1108/17471110910977285,-,114,2009,CSR reporting in Malaysia is driven by mimicry of Western practices rather than local pressures.
Internationalization and CSR reporting: evidence from US companies and their Polish subsidiaries,"Charles H. Cho, Joanna Krasodomska, Paulette Ratliff-Miller, Justyna Godawska",10.1108/medar-06-2020-0922,https://doi.org/10.1108/medar-06-2020-0922,Meditari Accountancy Research,13,2021,US multinational companies have more extensive CSR reporting than their Polish subsidiaries.
"Mandatory corporate social responsibility in India: reporting reality, issues and way forward","P. Taneja, Ameeta Jain, Mahesh Joshi, Monika Kansal",10.1108/medar-11-2020-1063,https://doi.org/10.1108/medar-11-2020-1063,Meditari Accountancy Research,10,2021,"Mandatory CSR reporting in India has created an expectation gap between regulators and companies, leading to compliance burdens and reduced quality of CSR activities."
Tax and Development,"R. Jenkins, P. Newell",10.1787/9789264177581-en,https://doi.org/10.1787/9789264177581-en,-,19,2013,Tax avoidance and evasion should be considered a corporate social responsibility issue for companies.
The World Guide to CSR: A Country‐by‐Country Analysis of Corporate Sustainability and Responsibility – Edited by Wayne Visser and Nick Tolhurst,M. Moskowitz,10.1111/J.1467-8594.2010.00374.X,https://doi.org/10.1111/J.1467-8594.2010.00374.X,-,6,2010,The World Guide to CSR provides country-by-country analysis of corporate sustainability and responsibility practices.
CSR communication on corporate websites compared across continents,"Katharina Hetze, H. Winistörfer",10.1108/IJBM-02-2015-0022,https://doi.org/10.1108/IJBM-02-2015-0022,-,44,2016,The paper examines how the world's largest banks use their corporate websites to communicate their corporate social responsibility (CSR) activities.
CSR reporting practices of Islamic and conventional banks based on ownership differences,"Md. Abdur Rouf, Md. Alamgir Hossan, A.N.M. Jahangir Kabir",10.1108/jiabr-03-2023-0081,https://doi.org/10.1108/jiabr-03-2023-0081,Journal of Islamic Accounting and Business Research,2,2024,This paper examines the relationship between ownership structure and the level of CSR reporting in Islamic and conventional banks in Bangladesh.
Does Corporate Social Responsibility Make a Difference,C. Batruch,10.1163/19426720-01702003,https://doi.org/10.1163/19426720-01702003,-,10,2011,The paper discusses how corporate social responsibility (CSR) reporting can help companies address crises and criticisms regarding their role in sociopolitical issues.
Firm Responses to Nonprescriptive Pollution Regulation: Evidence from China’s Corporate Social Responsibility Reporting Mandate,"J. Gramlich, Li Huang",10.2308/api-2021-011,https://doi.org/10.2308/api-2021-011,Accounting and the Public Interest,1,2023,"China's mandatory CSR reporting requirement led to reduced pollution levels, with mixed effects on firm profitability."
Corporate Social Responsibility Reporting in Financial Institutions: Evidence from Euronext,"A. Andrikopoulos, Aristeidis Samitas, Michalis Bekiaris",10.1016/J.RIBAF.2014.02.001,https://doi.org/10.1016/J.RIBAF.2014.02.001,-,92,2014,CSR reporting is more extensive in large and highly leveraged financial institutions to meet stakeholder demand for transparency.
What do companies report for their corporate social responsibility practices on their corporate websites? Evidence from a global airline company,"F. Okumus, F. Sengur, Mehmet Ali Köseoglu, Yusuf Sengur",10.1108/jhtt-01-2019-0007,https://doi.org/10.1108/jhtt-01-2019-0007,Journal of Hospitality and Tourism Technology,22,2020,This study examines how the airline company Turkish Airlines reports its corporate social responsibility (CSR) activities on its website.
Exploring the role of CSR as national responsibility,"Kamal Al Yammahi, M. Guruswamy",10.1108/JGR-11-2016-0033,https://doi.org/10.1108/JGR-11-2016-0033,-,4,2017,CSR can support national responsibility by integrating corporate social responsibility efforts towards effective implementation.
ISO 26000: the business guide to the new standard on social responsibility,R. Sully,10.1080/14615517.2012.681201,https://doi.org/10.1080/14615517.2012.681201,-,17,2012,"ISO 26000 provides guidance on corporate social responsibility (CSR) reporting for organizations, though it is not a certification standard."
Does corporate social responsibility reporting enhance shareholders’ value? A simultaneous equation approach,Afzalur Rashid,10.1108/JFRA-10-2016-0084,https://doi.org/10.1108/JFRA-10-2016-0084,-,11,2018,CSR reporting enhances firm performance in Bangladesh.
Do reputation concerns motivate voluntary initiation of corporate social responsibility reporting? Evidence from China,"Kuo-Cheng Huang, Yu-Chun Wang",10.1016/j.frl.2021.102611,https://doi.org/10.1016/j.frl.2021.102611,Finance Research Letters,13,2021,"Firms in China are more likely to initiate voluntary CSR reporting after reputation-damaging regulatory violations, especially for non-state-owned enterprises."
Emerging phenomenon of corporate social and environmental reporting in China,"Shen Yu, A. Rowe",10.1108/SAMPJ-09-2016-0064,https://doi.org/10.1108/SAMPJ-09-2016-0064,-,34,2017,The paper explores the motivations behind the emerging corporate social and environmental reporting practices in China.
Business and human rights: A critical assessment of the notion of CSR and measurement,"Diego Quiroz-Onate, M. Aitken",10.1108/14770020780000559,https://doi.org/10.1108/14770020780000559,-,20,2007,"CSR is an ill-defined concept with no clear guidelines or standardized measurement mechanisms, which creates confusion for firms in complying with CSR."
Social media: the Wild West of CSR communications,"Ralph Tench, Brian Jones",10.1108/SRJ-12-2012-0157,https://doi.org/10.1108/SRJ-12-2012-0157,-,42,2015,"Social media has transformed corporate communication of CSR, as activists can now easily challenge corporate CSR messages."
Reporting and reflecting on corporate social responsibility in the hospitality industry: a case study of pub operators in the UK.,"P. Jones, D. Comfort, D. Hillier",10.1108/09596110610665339,https://doi.org/10.1108/09596110610665339,-,112,2006,This paper examines how UK pub operators report and reflect on their corporate social responsibility (CSR) practices.
CSR as an impression-management strategy: the joint effect of disclosure tone management and earnings management,"Sourour Hamza, Naoel Mezgani, Anis Jarboui",10.1108/sampj-08-2022-0423,https://doi.org/10.1108/sampj-08-2022-0423,"Sustainability Accounting, Management and Policy Journal",9,2023,"CSR reporting can be used as an impression management strategy, influenced by earnings management and disclosure tone management."
Defined benefit pension policies and social responsibility performance: do socially responsible firms walk the talk?,"M. Harjoto, I. Laksmana",10.1108/sampj-01-2020-0019,https://doi.org/10.1108/sampj-01-2020-0019,-,3,2020,"This paper is not directly relevant to the query ""what is CSR reporting"", as it focuses on the relationship between corporate social responsibility (CSR) performance and pension funding, rather than CSR reporting specifically."
Corporate Social Responsibility European Style,O. Schutter,10.1111/J.1468-0386.2007.00411.X,https://doi.org/10.1111/J.1468-0386.2007.00411.X,-,119,2008,CSR reporting in the EU has shifted from a regulatory framework to a business-led process focused on promoting learning among companies.
Can CSR mechanisms spur GRI adoption and restore its lost value relevance?,"M. Nandy, C. Kuzey, Ali Uyar, S. Lodh, Abdullah S. Karaman",10.1108/jaar-03-2022-0068,https://doi.org/10.1108/jaar-03-2022-0068,Journal of Applied Accounting Research,20,2022,"CSR committees and executive compensation can drive GRI adoption, but its value relevance has declined over time."
"CSR Performance, Firm’s Attributes, and Sustainability Reporting",Berto Usman,10.33736/IJBS.3269.2020,https://doi.org/10.33736/IJBS.3269.2020,-,25,2020,CSR performance and firm attributes are associated with sustainability reporting.
Determinants of the extent and quality of corporate social responsibility disclosure in the industrial and services sectors: the case of Jordan,"H. Alkayed, B. Omar",10.1108/jfra-05-2021-0133,https://doi.org/10.1108/jfra-05-2021-0133,Journal of Financial Reporting & Accounting,37,2022,The paper examines the determinants of the extent and quality of corporate social responsibility disclosure in the industrial and services sectors in Jordan.
The Potential Role for Corporate Social Responsibility Reporting in Trade Agreements,"Daniel Tschopp, Trina Hamilton",10.1080/0969160X.2012.657071,https://doi.org/10.1080/0969160X.2012.657071,-,2,2012,CSR reporting standards could be included in trade agreements to address transparency and accountability concerns around the environmental and social impacts of trade liberalization.
"Corporate social responsibility disclosure level, external assurance and cost of equity capital",Jessica Weber,10.1108/JFRA-12-2017-0112,https://doi.org/10.1108/JFRA-12-2017-0112,Journal of Financial Reporting & Accounting,50,2018,"CSR reporting characteristics, including disclosure level and external assurance, affect the cost of equity capital for reporting firms."
Identification of Going-Concern Risks in CSR and Integrated Reports of Polish Companies from the Construction and Property Development Sector,Elżbieta-Izabela Szczepankiewicz,10.3390/RISKS9050085,https://doi.org/10.3390/RISKS9050085,Risks,7,2021,The paper examines the disclosure of financial risk and going-concern risks in CSR and integrated reports of Polish construction and property development companies.
Corporate social responsibility disclosure and debt financing,"Amal Hamrouni, Rim Boussaada, Nadia Toumi",10.1108/JAAR-01-2018-0020,https://doi.org/10.1108/JAAR-01-2018-0020,Journal of Applied Accounting Research,85,2019,Higher CSR disclosure is associated with better access to debt financing for French firms.
Sustainable CSR: Legal and Managerial Demands of the New EU Legislation (CSRD) for the Future Corporate Governance Practices,"Andreja Primec, Jernej Belak",10.3390/su142416648,https://doi.org/10.3390/su142416648,Sustainability,20,2022,The new EU Corporate Sustainability Reporting Directive (CSRD) aims to improve the quality and consistency of non-financial reporting by companies.
Does CSR disclosure influence financial performance of firms? Evidence from an emerging economy,"A. K. Singh, Madhumita Chakraborty",10.1108/SAMPJ-02-2018-0042,https://doi.org/10.1108/SAMPJ-02-2018-0042,"Sustainability Accounting, Management and Policy Journal",24,2021,Corporate social responsibility disclosure has a positive association with accounting measures of financial performance in Indian firms.
Benefit Corporations,"Kathleen M. Wilburn, R. Wilburn",10.5840/BPEJ201962182,https://doi.org/10.5840/BPEJ201962182,Business and Professional Ethics Journal,10,2019,"Benefit corporations are required to publish reports on their social purpose performance, but many lack published reports."
Institutional shareholding and corporate social responsibility reporting: evidence from Bangladesh,Afzalur Rashid,10.1108/jabs-09-2019-0285,https://doi.org/10.1108/jabs-09-2019-0285,-,12,2020,Institutional shareholding and corporate social responsibility reporting negatively influence each other in Bangladesh.
"Mandatory CSR disclosure, monitoring and investment efficiency: evidence from China","L. Liu, G. Tian",10.1111/acfi.12588,https://doi.org/10.1111/acfi.12588,-,94,2019,"Mandatory CSR disclosure improves monitoring and investment efficiency, especially for firms with agency problems, in China."
Corporate Social Responsibility and Tax Aggressiveness: An Empirical Analysis,W. Hamilton-Jessop,10.1080/0969160X.2013.820421,https://doi.org/10.1080/0969160X.2013.820421,-,7,2013,More socially responsible corporations are likely to be less tax aggressive.
A matrix model towards CSR – moving from one size fit approach,"Saju Jose, Krishna Venkitachalam",10.1108/JSMA-07-2018-0071,https://doi.org/10.1108/JSMA-07-2018-0071,Journal of Strategy and Management,4,2019,"The paper proposes a matrix model for CSR reporting that can be adapted for different industries and emerging economies, moving beyond a one-size-fits-all approach."
"Reporting under the ‘E’ of the CSRD. An Overview of Legal Requirements and a Comparison With Existing Obligations under Environmental Law, Focussing on the Netherlands","Marloes Brans, Ronnie Bloemberg, Felix Felder",10.54648/eelr2024015,https://doi.org/10.54648/eelr2024015,European energy and environmental law review,0,2024,The paper provides an overview of the environmental disclosure requirements under the Corporate Sustainability Reporting Directive (CSRD) and compares them to existing environmental reporting obligations.
